viewer_id,account_name,country,total_views,total_watch_time,engagement_count,total_sessions,returning_sessions,ad_blocked_sessions
010cc690-2dd7-11f0-a544-02420a000171,Anonymous,US,0,0.0,0,1,0,0
010cd523-5936-11f0-a458-02420a00011e,Anonymous,US,0,0.0,0,1,0,0
011025e5-6e5f-11f0-b499-02420a00015c,Anonymous,SE,0,0.0,0,1,0,0
01103ac9-1cd8-11f0-873e-02420a000106,Anonymous,US,0,0.0,0,1,0,0
0118da7c-2b30-11f0-8629-02420a0001a0,Anonymous,PL,0,0.0,0,1,0,0
01197f96-5278-11f0-94ae-02420a0001eb,Anonymous,US,0,0.0,0,1,0,0
011b89b0-4e87-11f0-bf79-02420a000168,Anonymous,US,0,0.0,0,1,0,0
011c14dd-677b-11f0-a5ee-02420a00013d,Anonymous,US,0,0.0,0,1,0,0
011cf421-6ac4-11f0-92e4-02420a0001db,Anonymous,BR,0,0.0,0,1,0,0
011d05d3-6f0d-11f0-9234-02420a000144,Anonymous,US,0,0.0,0,1,0,0
011d0f86-59c6-11f0-b3da-02420a0001fe,Anonymous,US,0,0.0,0,1,0,0
011e0a2b-31a0-11f0-9316-02420a00010d,Anonymous,US,0,0.0,0,1,0,0
011fdc51-59c6-11f0-84e3-02420a0001f1,Anonymous,US,0,0.0,0,1,0,0
0126a3a7-50f1-11f0-94c9-02420a00012e,Anonymous,US,0,0.0,0,1,0,0
01291c87-401f-11f0-8976-02420a00011b,Anonymous,US,0,0.0,0,1,0,0
012a252f-68af-11f0-833e-02420a000111,Anonymous,US,0,0.0,0,1,0,0
012e28f5-29e4-11f0-ab8d-02420a0001ae,Anonymous,US,0,0.0,0,1,0,0
012e86e7-27e6-11f0-a0f2-02420a0001a4,Anonymous,US,0,0.0,0,1,0,0
01309795-2276-11f0-8255-02420a000107,Anonymous,US,0,0.0,0,1,0,0
01324ce4-1f07-11f0-8304-02420a00010c,Anonymous,HK,0,0.0,0,1,0,0
01333a5c-30ac-11f0-83d0-02420a000108,Anonymous,IE,0,0.0,0,1,0,0
0134fdd7-1e4c-11f0-9e8d-02420a000105,Anonymous,US,0,0.0,0,1,0,0
013750ee-1eed-11f0-873e-02420a000106,Anonymous,HK,0,0.0,0,1,0,0
01385f22-6511-11f0-b62d-02420a0001a4,Anonymous,SG,0,0.0,0,1,0,0
013dd7eb-5d70-11f0-9db2-02420a000175,Anonymous,US,0,0.0,0,2,0,0
01413007-520d-11f0-ba34-02420a000111,Anonymous,BR,0,0.0,0,1,0,0
0143ef2a-1bf1-11f0-8936-02420a00010b,Anonymous,US,0,0.0,0,1,0,0
01456f60-1fb0-11f0-9d5c-02420a0001fd,Anonymous,BE,0,0.0,0,1,0,0
0145b341-52f8-11f0-bc10-02420a0001f4,Anonymous,US,0,0.0,0,1,0,0
0145b722-27cf-11f0-b0c8-02420a0001a9,Anonymous,US,0,0.0,0,1,0,0
0146e4ed-1d93-11f0-9e8d-02420a000105,Anonymous,US,0,0.0,0,1,0,0
014be0d3-3c49-11f0-9486-02420a000113,Anonymous,NL,0,0.0,0,1,0,0
0150daba-5b0c-11f0-95f0-02420a0001ea,Anonymous,NL,0,0.0,0,1,0,0
015936be-1f19-11f0-8936-02420a00010b,Anonymous,US,0,0.0,0,1,0,0
015b2ba3-6e08-11f0-8a7f-02420a000163,Anonymous,SE,0,0.0,0,1,0,0
015d66ae-5940-11f0-a917-02420a000115,Anonymous,US,0,0.0,0,1,0,0
015e437f-6d8a-11f0-9303-02420a000188,Anonymous,US,0,0.0,0,1,0,0
015ef723-30ac-11f0-9316-02420a00010d,Anonymous,IE,0,0.0,0,1,0,0
015f8b04-2316-11f0-a8a4-02420a0001fe,Anonymous,US,0,0.0,0,1,0,0
01601f7c-1cd8-11f0-b28e-02420a000110,Anonymous,US,0,0.0,0,1,0,0
0164f29e-29b2-11f0-9392-02420a0001a5,Anonymous,US,0,0.0,0,1,0,0
01669193-2117-11f0-8936-02420a00010b,Anonymous,US,0,0.0,0,1,0,0
0167c568-2168-11f0-8936-02420a00010b,Anonymous,US,0,0.0,0,1,0,0
016b0643-31b5-11f0-a96c-02420a000111,Anonymous,US,0,0.0,0,1,0,0
016b53c9-30be-11f0-a2eb-02420a00010b,Anonymous,DE,0,0.0,0,1,0,0
016f4ff6-4bd4-11f0-b24f-02420a0001ea,Anonymous,US,0,0.0,0,1,0,0
016f7730-363f-11f0-9316-02420a00010d,Anonymous,US,0,0.0,0,1,0,0
0173015a-55dd-11f0-8e90-02420a000187,Anonymous,US,0,0.0,0,1,0,0
01730cfb-4ff9-11f0-a3c5-02420a00015d,Anonymous,US,0,0.0,0,1,0,0
01760124-2e3e-11f0-a476-02420a000173,Anonymous,NL,0,0.0,0,1,0,0
01793b64-5b7b-11f0-90f9-02420a0001c0,Anonymous,HK,0,0.0,0,1,0,0
017b449e-2b43-11f0-8fb1-02420a0001a6,Anonymous,US,0,0.0,0,1,0,0
01884023-4ff9-11f0-8d8b-02420a00015c,Anonymous,US,0,0.0,0,1,0,0
01890c1f-4202-11f0-91d7-02420a000115,Anonymous,US,0,0.0,0,1,0,0
01897515-6bd4-11f0-9fa6-02420a0001ac,Anonymous,US,0,0.0,0,1,0,0
01931b1e-2bf8-11f0-a18d-02420a000160,Anonymous,US,0,0.0,0,1,0,0
0194dfe3-3aae-11f0-9316-02420a00010d,Anonymous,DE,0,0.0,0,1,0,0
019514ca-5b7b-11f0-b12f-02420a0001cc,Anonymous,HK,0,0.0,0,1,0,0
01962b85-3b92-11f0-83d0-02420a000108,Anonymous,US,0,0.0,0,1,0,0
01997843-5b83-11f0-b3d7-02420a0001d0,Anonymous,HK,0,0.0,0,1,0,0
019998c9-5b83-11f0-94de-02420a0001c7,Anonymous,HK,0,0.0,0,1,0,0
